bucket_expiry,bucket_tenor,sigma_atm,nu,rho,beta,shift,rmse,max_abs_error,num_quotes,fit_error,success,vol_type
10Y,5Y,0.13759447275263753,0.4715484982460426,-0.08486794828366795,0.5,0.0,3.7475108064945836e-05,6.504344460498811e-05,5,1.4043837244793688e-09,True,NORMAL
1Y,10Y,0.10755805120160802,0.3709907182689983,-0.1022261324880743,0.5,0.0,2.211886227389189e-05,3.979718731675439e-05,5,4.89244068291398e-10,True,NORMAL
1Y,5Y,0.11308178747792225,0.37947744102928194,-0.10795564696017748,0.5,0.0,2.2481942147008274e-05,4.0778798887686034e-05,5,5.054377227014272e-10,True,NORMAL
2Y,5Y,0.1329917134956621,0.44475126891317596,-0.11648700323327454,0.5,0.0,8.969443508351563e-06,1.68229938745457e-05,5,8.045091684951e-11,True,NORMAL
3M,1Y,0.11547772699556796,0.7830658786307552,-0.021878560830304365,0.5,0.0,2.4611670485143902e-05,3.7542503219645425e-05,5,6.057343240693036e-10,True,NORMAL
5Y,10Y,0.13453292793308133,0.4953059727311595,-0.0838717391752616,0.5,0.0,3.6590150310290893e-05,6.354203488307276e-05,5,1.338839099729681e-09,True,NORMAL
5Y,5Y,0.1505835125036965,0.5142283008278061,-0.09675190528904559,0.5,0.0,3.72510890180134e-05,6.300793861726672e-05,5,1.3876436330279583e-09,True,NORMAL
6M,1Y,0.11357353859244534,0.7559719914479666,-0.021054911000969557,0.5,0.0,2.4271617418533883e-05,3.707153551274576e-05,5,5.891114121116775e-10,True,NORMAL
